Start,Connection,Database,Query,Time (secs),Columns,Records
14:06:41,localhost,"","SET PROPERTY ""LogFilesLocation"" TO '/Users/sean/Library/Logs/Valentina Studio/vlogs'",0.003,0,0
14:06:50,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,"","SELECT SERVERPROPERTY( 'Collation' ) AS Collation,  		SERVERPROPERTY( 'Edition' ) AS Edition,  		SERVERPROPERTY( 'ProductVersion' ) AS Version,  		SERVERPROPERTY( 'ServerName' ) AS Server,  		SERVERPROPERTY( 'ProcessID' ) As ID  ",0.043,5,1
14:06:50,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,"","SELECT database_id AS ID,  CONVERT(NVARCHAR(128), DB.name) AS 'Database',  (SELECT COUNT(1) FROM sys.master_files WHERE DB_NAME(database_id) = DB.name AND type_desc = 'rows') AS DataFilesCount,  (SELECT SUM((size*8)/1024) FROM sys.master_files WHERE DB_NAME(database_id) = DB.name AND type_desc = 'rows') AS DataSize,  CONVERT(VARCHAR(20), create_date, 103) + ' ' + CONVERT(VARCHAR(20), create_date, 108) AS CreationDate,  -- last backup  ISNULL((SELECT TOP 1          CASE type WHEN 'D' THEN 'Full' WHEN 'I' THEN 'Differential' WHEN 'L' THEN 'Transaction log' END + ' – ' +          LTRIM(ISNULL(STR(ABS(DATEDIFF(DAY, GETDATE(),backup_finish_date))) + ' days ago', 'NEVER')) + ' – ' +           CONVERT(VARCHAR(20), backup_start_date, 103) + ' ' + CONVERT(VARCHAR(20), backup_start_date, 108) + ' – ' +          CONVERT(VARCHAR(20), backup_finish_date, 103) + ' ' + CONVERT(VARCHAR(20), backup_finish_date, 108) +          ' (' + CAST(DATEDIFF(second, BK.backup_start_date,                               BK.backup_finish_date) AS VARCHAR(4)) + ' '          + 'seconds)'          FROM msdb..backupset BK WHERE BK.database_name COLLATE DATABASE_DEFAULT = DB.name COLLATE DATABASE_DEFAULT ORDER BY backup_set_id DESC),'-') AS LastBackup,  DB.user_access_desc AS 'AccessMode'  FROM sys.databases DB   WHERE DB.name <> 'master' AND   DB.name <> 'msdb' AND   DB.name <> 'model' AND   DB.name <> 'resource' AND   DB.name <> 'tempdb'",0.103,7,65
14:06:52,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT * FROM sys.databases db LEFT JOIN sys.change_tracking_databases track ON db.database_id = track.database_id WHERE db.name = N'student12';",0.087,83,1
14:06:52,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT database_id AS ID,  CONVERT(NVARCHAR(128), DB.name) AS 'Database',  (SELECT COUNT(1) FROM sys.master_files WHERE DB_NAME(database_id) = DB.name AND type_desc = 'rows') AS DataFilesCount,  (SELECT SUM((size*8)/1024) FROM sys.master_files WHERE DB_NAME(database_id) = DB.name AND type_desc = 'rows') AS DataSize,  CONVERT(VARCHAR(20), create_date, 103) + ' ' + CONVERT(VARCHAR(20), create_date, 108) AS CreationDate,  -- last backup  ISNULL((SELECT TOP 1          CASE type WHEN 'D' THEN 'Full' WHEN 'I' THEN 'Differential' WHEN 'L' THEN 'Transaction log' END + ' – ' +          LTRIM(ISNULL(STR(ABS(DATEDIFF(DAY, GETDATE(),backup_finish_date))) + ' days ago', 'NEVER')) + ' – ' +           CONVERT(VARCHAR(20), backup_start_date, 103) + ' ' + CONVERT(VARCHAR(20), backup_start_date, 108) + ' – ' +          CONVERT(VARCHAR(20), backup_finish_date, 103) + ' ' + CONVERT(VARCHAR(20), backup_finish_date, 108) +          ' (' + CAST(DATEDIFF(second, BK.backup_start_date,                               BK.backup_finish_date) AS VARCHAR(4)) + ' '          + 'seconds)'          FROM msdb..backupset BK WHERE BK.database_name COLLATE DATABASE_DEFAULT = DB.name COLLATE DATABASE_DEFAULT ORDER BY backup_set_id DESC),'-') AS LastBackup,  DB.user_access_desc AS 'AccessMode'  FROM sys.databases DB   WHERE CONVERT(NVARCHAR(128), DB.name) = 'student12'",0.090,7,1
14:06:52,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT name AS 'Property', value AS 'Value'  FROM fn_listextendedproperty( DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT, DEFAULT )",0.045,2,0
14:06:53,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.schemas WHERE name <> 'information_schema' AND name <> 'sys' AND SUBSTRING( name, 0, 4 ) <> 'db_'",0.042,1,1
14:06:53,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.triggers sys_tr WHERE sys_tr.type = 'TR' AND sys_tr.parent_class = 0 -- DDL Triggers",0.045,1,1
14:06:53,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT COUNT(*) FROM sys.assemblies",0.048,1,1
14:06:53,ec2-54-212-228-227.us-west-2.compute.amazonaws.com,student12,"SELECT sys_sch.name AS 'Schema',          sys_sch.schema_id AS 'ID',          sys_dbp.name AS 'Owner'  FROM sys.schemas sys_sch          LEFT JOIN sys.database_principals sys_dbp ON sys_sch.principal_id = sys_dbp.principal_id WHERE sys_sch.name <> 'information_schema'  AND sys_sch.name <> 'sys'  AND SUBSTRING( sys_sch.name, 0, 4 ) <> 'db_'",0.041,3,2
